"","site.name","block","landuse","Accum.biomass","Res.biom"
"1","Handajega",1,"wild",58.916666716,1.39165589085714
"2","Handajega",2,"wild",289.833333384,1.02789278571429
"3","Handajega",3,"wild",119.361111054,0.609301426
"4","Handajega",4,"wild",309.166666639,0.772184800857143
"5","Makao",1,"wild",69.091111091,0.518446026428572
"6","Makao",2,"wild",129.777777747,1.042203853
"7","Makao",3,"wild",-39.750000005,0.902973158
"8","Makao",4,"wild",-34.24999992,0.866768059
"9","Maswa",1,"pasture",85.277777795,0.275341921
"10","Maswa",2,"pasture",16.111111092,0.262479726714286
"11","Maswa",3,"pasture",-2.162317659,0.433464210857143
"12","Maswa",4,"pasture",69.930555626,0.405189569714286
"13","Mwantimba",1,"pasture",40.722222205,0.368395688428572
"14","Mwantimba",2,"pasture",42.000000025,0.498963514285714
"15","Mwantimba",3,"pasture",393.52777778,0.396210893857143
"16","Mwantimba",4,"pasture",198.472222253,0.383260377428571
"17","Seronera",1,"wild",-63.97429064,0.398946147285714
"18","Seronera",2,"wild",-18.722222247,0.340851371571429
"19","Seronera",3,"wild",3.83126476699999,0.358139209428571
"20","Seronera",4,"wild",51.638888827,0.224846209857143
