"","ID","Region","Site","Block","Circle","Horizon","Land_Use","MAP.mm_yr","Clay.per"
"1",1,"Makao",1,1,1,"A-hor","Pasture",672.04,21
"2",2,"Makao",1,1,1,"Min-hor","Pasture",672.04,28
"17",17,"Makao",1,3,1,"A-hor","Pasture",672.04,22
"18",18,"Makao",1,3,1,"Min-hor","Pasture",672.04,26
"33",33,"Maswa",2,1,1,"A-hor","Wild",754.84,62
"34",34,"Maswa",2,1,1,"Min-hor","Wild",754.84,62
"49",49,"Maswa",2,3,1,"A-hor","Wild",717.36,44
"50",50,"Maswa",2,3,1,"Min-hor","Wild",717.36,45
"65",65,"Mwantimba",3,1,1,"A-hor","Pasture",1295.06,34
"66",66,"Mwantimba",3,1,1,"Min-hor","Pasture",1295.06,37
"81",81,"Mwantimba",3,3,1,"A-hor","Pasture",1295.06,28
"82",82,"Mwantimba",3,3,1,"Min-hor","Pasture",1295.06,34
"97",97,"Handajega",4,1,1,"A-hor","Wild",1279.26,16
"98",98,"Handajega",4,1,1,"Min-hor","Wild",1279.26,21
"121",121,"Handajega",4,3,1,"A-hor","Wild",1279.26,20
"122",122,"Handajega",4,3,1,"Min-hor","Wild",1279.26,22
"150",158,"Seronera",5,2,1,"A-hor","Wild",855.62,12
"151",159,"Seronera",5,2,1,"Min-hor","Wild",855.62,24
"169",141,"Seronera",5,4,1,"A-hor","Wild",855.62,10
"170",142,"Seronera",5,4,1,"Min-hor","Wild",855.62,21
"177",177,"Park Nyigoti",6,1,1,"A-hor","Pasture",1134.81,23
"178",178,"Park Nyigoti",6,1,1,"Min-hor","Pasture",1134.81,26
"193",193,"Park Nyigoti",6,3,1,"A-hor","Pasture",1134.81,21
"194",194,"Park Nyigoti",6,3,1,"Min-hor","Pasture",1134.81,22
"209",209,"Ikorongo",7,1,1,"A-hor","Wild",1134.81,35
"210",210,"Ikorongo",7,1,1,"Min-hor","Wild",1134.81,39
"225",225,"Ikorongo",7,3,1,"A-hor","Wild",1134.81,25
"226",226,"Ikorongo",7,3,1,"Min-hor","Wild",1134.81,28
