"","MAP.mm_yr","Sand","Clay","Last_fire.yr","Fire_frequency.2000_2017.x","Shrubbiness2","TreeBM.kg_m2","Herbaceous","AhorN.kg_m2","MinN.kg_m2","MinC.kg_m2","AhorC.kg_m2"
"MAP.mm_yr",1,0.226,-0.181,-0.27,-0.359,0.651,0.063,0.511,-0.372,-0.279,-0.07,0.018
"Sand",0.226,1,-0.951,0.5,0.519,-0.02,-0.431,0.389,-0.67,-0.635,-0.542,-0.512
"Clay",-0.181,-0.951,1,-0.481,-0.482,0.044,0.382,-0.373,0.644,0.579,0.49,0.458
"Last_fire.yr",-0.27,0.5,-0.481,1,0.777,-0.605,0.153,0.433,-0.279,-0.252,-0.301,-0.298
"Fire_frequency.2000_2017.x",-0.359,0.519,-0.482,0.777,1,-0.433,0.109,-0.038,-0.224,-0.315,-0.349,-0.225
"Shrubbiness2",0.651,-0.02,0.044,-0.605,-0.433,1,-0.2,-0.027,-0.226,-0.059,0.082,-0.054
"TreeBM.kg_m2",0.063,-0.431,0.382,0.153,0.109,-0.2,1,0.099,0.279,0.222,0.2,0.422
"Herbaceous",0.511,0.389,-0.373,0.433,-0.038,-0.027,0.099,1,-0.386,-0.248,-0.128,-0.149
"AhorN.kg_m2",-0.372,-0.67,0.644,-0.279,-0.224,-0.226,0.279,-0.386,1,0.508,0.429,0.839
"MinN.kg_m2",-0.279,-0.635,0.579,-0.252,-0.315,-0.059,0.222,-0.248,0.508,1,0.903,0.364
"MinC.kg_m2",-0.07,-0.542,0.49,-0.301,-0.349,0.082,0.2,-0.128,0.429,0.903,1,0.428
"AhorC.kg_m2",0.018,-0.512,0.458,-0.298,-0.225,-0.054,0.422,-0.149,0.839,0.364,0.428,1
