Slice,Count,Total Area,Average Size,%Area
1,1,1025,1025.000,9.135
2,2,580,290.000,5.169
3,1,259,259.000,2.308
4,1,756,756.000,6.738
5,4,1311,327.750,11.684
6,2,853,426.500,7.602
7,1,748,748.000,6.667
8,1,708,708.000,6.310
9,1,1657,1657.000,14.768
10,1,220,220.000,1.961
11,1,1137,1137.000,10.134
12,1,622,622.000,5.544
13,1,343,343.000,3.057
14,1,353,353.000,3.146
15,1,866,866.000,7.718
16,2,841,420.500,7.496
17,2,462,231.000,4.118
18,1,3449,3449.000,30.740
19,1,489,489.000,4.358
20,2,342,171.000,3.048
21,3,894,298.000,7.968
22,1,502,502.000,4.474
23,2,589,294.500,5.250
24,1,761,761.000,6.783
25,1,1221,1221.000,10.882
26,1,537,537.000,4.786
27,1,571,571.000,5.089
28,2,1657,828.500,14.768
29,1,1185,1185.000,10.561
30,2,558,279.000,4.973
31,1,1145,1145.000,10.205
32,2,1155,577.500,10.294
33,1,998,998.000,8.895
34,1,155,155.000,1.381
35,1,351,351.000,3.128
36,1,446,446.000,3.975
37,1,354,354.000,3.155
38,7,616,88.000,5.490
39,2,182,91.000,1.622
40,10,650,65.000,5.793
41,10,421,42.100,3.752
42,3,527,175.667,4.697
43,4,882,220.500,7.861
44,1,341,341.000,3.039
45,1,1315,1315.000,11.720
46,1,775,775.000,6.907
47,2,474,237.000,4.225
48,1,768,768.000,6.845
49,2,87,43.500,0.775
50,1,991,991.000,8.832
51,1,192,192.000,1.711
52,1,832,832.000,7.415
53,2,1551,775.500,13.824
54,1,1231,1231.000,10.971
55,1,325,325.000,2.897
56,1,512,512.000,4.563
57,1,178,178.000,1.586
58,1,870,870.000,7.754
59,1,735,735.000,6.551
60,1,786,786.000,7.005
61,1,875,875.000,7.799
62,1,128,128.000,1.141
63,1,409,409.000,3.645
64,1,478,478.000,4.260
65,2,2855,1427.500,25.446
66,1,1403,1403.000,12.504
67,1,1172,1172.000,10.446
68,1,570,570.000,5.080
69,1,83,83.000,0.740
70,3,524,174.667,4.670
71,2,495,247.500,4.412
72,1,91,91.000,0.811
73,1,559,559.000,4.982
74,2,1302,651.000,11.604
75,2,153,76.500,1.364
76,1,287,287.000,2.558
77,1,596,596.000,5.312
78,1,421,421.000,3.752
79,1,1149,1149.000,10.241
80,1,1025,1025.000,9.135
81,1,898,898.000,8.004
82,2,526,263.000,4.688
83,1,563,563.000,5.018
84,1,392,392.000,3.494
85,1,921,921.000,8.209
86,3,1562,520.667,13.922
87,1,718,718.000,6.399
88,1,487,487.000,4.340
89,2,185,92.500,1.649
90,3,276,92.000,2.460
91,1,333,333.000,2.968
92,1,328,328.000,2.923
93,1,592,592.000,5.276
94,1,321,321.000,2.861
95,2,124,62.000,1.105
96,1,1141,1141.000,10.169
97,2,640,320.000,5.704
98,1,256,256.000,2.282
99,1,291,291.000,2.594
100,1,423,423.000,3.770
101,1,1377,1377.000,12.273
102,1,423,423.000,3.770
103,1,463,463.000,4.127
104,1,668,668.000,5.954
105,1,631,631.000,5.624
106,1,1531,1531.000,13.645
107,2,603,301.500,5.374
108,1,242,242.000,2.157
109,1,304,304.000,2.709
110,1,1028,1028.000,9.162
