Season;Region;Site;Block;Landuse;N.per;C.per;P.per (SUA);C:N;P.per (NMBU);Blockcode
Wet;Wet;Mwantimba;1;Agriculture;0.13;1.56;32.75;12;;Wet_Ag1
Wet;Wet;Mwantimba;2;Agriculture;0.14;1.83;64.81;13.07142857;;Wet_Ag2
Wet;Wet;Mwantimba;3;Agriculture;0.09;0.99;12.44;11;;Wet_Ag3
Wet;Wet;Mwantimba;4;Agriculture;0.12;1.43;12.58;11.91666667;;Wet_Ag4
Wet;Wet;Mwantimba;1;Pasture;0.18;2.19;32.2;12.16666667;1.3;Wet_P1
Wet;Wet;Mwantimba;2;Pasture;0.19;2.07;15.06;10.89473684;;Wet_P2
Wet;Wet;Mwantimba;3;Pasture;0.17;2.29;29.99;13.47058824;0.69;Wet_P3
Wet;Wet;Mwantimba;4;Pasture;0.16;2.41;49.2;15.0625;;Wet_P4
Wet;Wet;Handajega;1;Wild;0.11;1.46;39.25;13.27272727;0.59;Wet_W1
Wet;Wet;Handajega;2;Wild;0.12;1.88;55.14;15.66666667;;Wet_W2
Wet;Wet;Handajega;3;Wild;0.17;2.32;58.73;13.64705882;0.585;Wet_W3
Wet;Wet;Handajega;4;Wild;0.14;1.73;52.65;12.35714286;;Wet_W4
Wet;Dry;Makao;1;Pasture;0.15;1.73;15.89;11.53333333;0.135;Dry_P1
Wet;Dry;Makao;2;Pasture;0.17;1.96;24.05;11.52941176;;Dry_P2
Wet;Dry;Makao;3;Pasture;0.16;2.18;6.36;13.625;0.16;Dry_P3
Wet;Dry;Makao;4;Pasture;0.17;2.15;3.04;12.64705882;;Dry_P4
Wet;Dry;Makao;1;Agriculture;0.15;1.88;14.23;12.53333333;;Dry_Ag1
Wet;Dry;Makao;2;Agriculture;0.12;1.495;14.51;12.46503497;;Dry_Ag2
Wet;Dry;Makao;3;Agriculture;0.16;2.18;5.11;13.625;;Dry_Ag3
Wet;Dry;Makao;4;Agriculture;0.16;1.97;5.94;12.3125;;Dry_Ag4
Wet;Dry;Maswa;1;Wild;0.23;2.96;11.19;12.86956522;0.33;Dry_W1
Wet;Dry;Maswa;2;Wild;0.27;3.12;51.82;11.55555556;;Dry_W2
Wet;Dry;Maswa;3;Wild;0.22;2.55;65.92;11.59090909;1.2;Dry_W3
Wet;Dry;Maswa;4;Wild;0.22;2.84;14.23;12.90909091;;Dry_W4
Wet;Intermediate;Seronera;1;Seronera;0.14;1.64;27.86;11.71428571;0.3875;Local1
Wet;Intermediate;Seronera;2;Seronera;0.18;2.19;38.49;12.16666667;;Local2
Wet;Intermediate;Seronera;3;Seronera;0.16;2.29;46.43;14.3125;;Local3
Wet;Intermediate;Seronera;4;Seronera;0.12;1.62;31.4;13.5;;Local4
Dry;Wet;Mwantimba;1;Agriculture;0.14;1.74;58.41;12.42857143;;Wet_Ag1
Dry;Wet;Mwantimba;2;Agriculture;0.13;1.79;37.88;13.76923077;;Wet_Ag2
Dry;Wet;Mwantimba;3;Agriculture;0.09;1;7.94;11.11111111;;Wet_Ag3
Dry;Wet;Mwantimba;4;Agriculture;0.1;1.05;9.9;10.5;;Wet_Ag4
Dry;Wet;Mwantimba;1;Pasture;0.135;1.62875;;12.06481481;;Wet_P1
Dry;Wet;Mwantimba;2;Pasture;0.15;2.03;3.54;13.53333333;;Wet_P2
Dry;Wet;Mwantimba;3;Pasture;0.14;1.63;17.11;11.64285714;;Wet_P3
Dry;Wet;Mwantimba;4;Pasture;0.15;2.05;60.24;13.66666667;;Wet_P4
Dry;Wet;Handajega;1;Wild;0.13;1.83;40.2;14.07692308;;Wet_W1
Dry;Wet;Handajega;2;Wild;0.115;1.56;36.17;13.56521739;;Wet_W2
Dry;Wet;Handajega;3;Wild;0.11;2.19;29.2;19.90909091;;Wet_W3
Dry;Wet;Handajega;4;Wild;0.13;1.95;21.51;15;;Wet_W4
Dry;Dry;Makao;1;Pasture;0.15;1.88;0.86;12.53333333;;Dry_P1
Dry;Dry;Makao;2;Pasture;0.21;2.64;33.11;12.57142857;;Dry_P2
Dry;Dry;Makao;3;Pasture;0.23;3.3;1.1;14.34782609;;Dry_P3
Dry;Dry;Makao;4;Pasture;0.15;1.96;3.05;13.06666667;;Dry_P4
Dry;Dry;Makao;1;Agriculture;0.18;2.28;24.32;12.66666667;;Dry_Ag1
Dry;Dry;Makao;2;Agriculture;0.16;1.87;15.64;11.6875;;Dry_Ag2
Dry;Dry;Makao;3;Agriculture;0.21;2.5;8.68;11.9047619;;Dry_Ag3
Dry;Dry;Makao;4;Agriculture;0.15;2.08;4.15;13.86666667;;Dry_Ag4
Dry;Dry;Maswa;1;Wild;0.19;2.98;7.94;15.68421053;;Dry_W1
Dry;Dry;Maswa;2;Wild;0.29;3.13;16.74;10.79310345;;Dry_W2
Dry;Dry;Maswa;3;Wild;0.18;2.14;16.5;11.88888889;;Dry_W3
Dry;Dry;Maswa;4;Wild;0.2;2.35;22.24;11.75;;Dry_W4
Dry;Intermediate;Seronera;1;Seronera;0.23;2.95;61.22;12.82608696;;Local1
Dry;Intermediate;Seronera;2;Seronera;0.15;2.14;56.09;14.26666667;;Local2
Dry;Intermediate;Seronera;3;Seronera;0.21;2.6;59.87;12.38095238;;Local3
Dry;Intermediate;Seronera;4;Seronera;0.19;2.41;47.26;12.68421053;;Local4
