	Site	Region	Landuse	Block	Clay.per	Silt.per	Sand.per	Class	OC.per	Percentage tot texture	Date		
1	Makao	Dry	Pasture	1	20.30	13.55	68.32	sandy clay loam	1.25	102.17			
2	Makao	Dry	Pasture	2	14.65	16.81	68.32	sandy loam	1.64	99.78			
3	Makao	Dry	Pasture	3	17.47	20.07	61.32	sandy clay loam	1.75	98.86			
4	Makao	Dry	Pasture	4	23.12	18.44	58.98	sandy clay loam	1.76	100.53			
5	Makao	Dry	Agriculture	1	4.22	13.59	81.58	loamy sand	1.02	99.40			
6	Makao	Dry	Agriculture	2	16.30	15.32	69.10	sandy clay loam	0.46	100.72			
7	Makao	Dry	Agriculture	3	62.80	30.12	9.37	clay	1.84	102.29			
8	Makao	Dry	Agriculture	4	59.81	28.21	14.59	clay	1.85	102.61			
9	Maswa	Dry	Wild	1	54.16	31.47	14.59	clay	2.88	100.22			
10	Maswa	Dry	Wild	2	50.37	32.02	16.93	clay	2.05	99.32			
11	Maswa	Dry	Wild	3	41.08	34.64	20.88	clay loam	2.55	96.59			
12	Maswa	Dry	Wild	4	26.21	33.24	35.21	sandy clay loam	2.17	94.65			
13	Mwantimba	Wet	Pasture	1	30.53	22.07	47.64	sandy clay loam	1.73	100.23			
14	Mwantimba	Wet	Pasture	2	34.41	20.07	47.30	sandy clay loam	2.07	101.77			
15	Mwantimba	Wet	Pasture	3	42.87	23.32	35.62	sandy clay	1.65	101.81			
16	Mwantimba	Wet	Pasture	4	25.94	16.81	58.98	sandy clay loam	1.04	101.73			
17	Mwantimba	Wet	Agriculture	1	51.34	24.95	26.27	clay	2.04	102.57			
18	Mwantimba	Wet	Agriculture	2	34.94	28.46	34.81	sandy clay loam	1.75	98.22			
19	Mwantimba	Wet	Agriculture	3	25.94	16.81	58.98	sandy clay loam	0.89	101.73			
20	Mwantimba	Wet	Agriculture	4	11.83	16.81	70.66	sandy loam	2.02	99.30			
21	Handajega	Wet	Wild	1	17.47	16.81	65.99	sandy clay loam	1.24	100.27			
22	Handajega	Wet	Wild	2	20.30	16.81	63.65	sandy clay loam	3.31	100.76			
23	Handajega	Wet	Wild	3	23.12	20.07	56.64	sandy clay loam	1.61	99.83			
24	Handajega	Wet	Wild	4	23.12	20.07	56.64	sandy clay loam	1.7	99.83			
25	Seronera	Dry-Wet	Common Garden	1	27.52	18.67	55.02	sandy clay loam	1.1	101.21			
26	Seronera	Dry-Wet	Common Garden	2	16.22	18.76	64.24	sandy clay loam	1.45	99.21			
27	Seronera	Dry-Wet	Common Garden	3	17.47	16.81	65.99	sandy clay loam	1.4	100.27			
28	Seronera	Dry-Wet	Common Garden	4	9.01	18.44	70.66	sandy loam	0.61	98.10			
